open_ts_int,open_ts_str,open,high,low,close,volume,open0,close0,volume0,open1,close1,volume1,open2,close2,volume2,open3,close3,volume3,open4,close4,volume4,open5,close5,volume5,open6,close6,volume6,open7,close7,volume7,open8,close8,volume8,open9,close9,volume9,open10,close10,volume10,open11,close11,volume11,open12,close12,volume12,open13,close13,volume13,open14,close14,volume14
1673186400000,2023-01-08 14:00:00,1263.48,1266.34,1263.47,1266.33,4337.7338,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534,1263.28,1263.29,7692.8745,1263.29,1263.16,4193.2699,1263.17,1261.67,4159.8631,1261.68,1262.07,3089.4802,1262.06,1263.47,2746.5076
1673182800000,2023-01-08 13:00:00,1262.06,1263.67,1262.06,1263.47,2746.5076,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534,1263.28,1263.29,7692.8745,1263.29,1263.16,4193.2699,1263.17,1261.67,4159.8631,1261.68,1262.07,3089.4802
1673179200000,2023-01-08 12:00:00,1261.68,1262.35,1261.27,1262.07,3089.4802,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534,1263.28,1263.29,7692.8745,1263.29,1263.16,4193.2699,1263.17,1261.67,4159.8631
1673175600000,2023-01-08 11:00:00,1263.17,1263.35,1261.65,1261.67,4159.8631,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534,1263.28,1263.29,7692.8745,1263.29,1263.16,4193.2699
1673172000000,2023-01-08 10:00:00,1263.29,1264.28,1261.96,1263.16,4193.2699,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534,1263.28,1263.29,7692.8745
1673168400000,2023-01-08 09:00:00,1263.28,1266.22,1262.35,1263.29,7692.8745,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548,1263.65,1263.28,3900.6534
1673164800000,2023-01-08 08:00:00,1263.65,1263.71,1262.3,1263.28,3900.6534,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758,1264.31,1263.64,2580.2548
1673161200000,2023-01-08 07:00:00,1264.31,1264.55,1262.44,1263.64,2580.2548,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295,1263.7,1264.31,3508.3758
1673157600000,2023-01-08 06:00:00,1263.7,1264.31,1262.7,1264.31,3508.3758,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027,1262.33,1263.7,1995.1295
1673154000000,2023-01-08 05:00:00,1262.33,1263.71,1262.3,1263.7,1995.1295,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493,1262.84,1262.34,1721.6027
1673150400000,2023-01-08 04:00:00,1262.84,1262.96,1262.2,1262.34,1721.6027,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591,1261.58,1262.84,4373.6493
1673146800000,2023-01-08 03:00:00,1261.58,1262.84,1260.62,1262.84,4373.6493,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407,1261.99,1261.58,5795.3591
1673143200000,2023-01-08 02:00:00,1261.99,1262.53,1259.4,1261.58,5795.3591,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761,1260.99,1261.99,7925.5407
1673139600000,2023-01-08 01:00:00,1260.99,1262.0,1259.34,1261.99,7925.5407,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114,1264.06,1260.99,12508.7761
1673136000000,2023-01-08 00:00:00,1264.06,1264.61,1257.77,1260.99,12508.7761,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041,1263.11,1264.07,5959.6114
1673132400000,2023-01-07 23:00:00,1263.11,1264.28,1262.0,1264.07,5959.6114,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696,1264.47,1263.11,9384.0041
1673128800000,2023-01-07 22:00:00,1264.47,1264.95,1261.87,1263.11,9384.0041,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587,1264.26,1264.47,11305.7696
1673125200000,2023-01-07 21:00:00,1264.26,1266.61,1262.77,1264.47,11305.7696,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333,1265.39,1264.27,7048.3587
1673121600000,2023-01-07 20:00:00,1265.39,1265.82,1262.83,1264.27,7048.3587,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207,1263.96,1265.38,4414.8333
1673118000000,2023-01-07 19:00:00,1263.96,1266.0,1263.92,1265.38,4414.8333,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853,1262.41,1263.95,2401.207
1673114400000,2023-01-07 18:00:00,1262.41,1264.54,1262.41,1263.95,2401.207,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785,1262.49,1262.42,2217.0853
1673110800000,2023-01-07 17:00:00,1262.49,1263.41,1261.87,1262.42,2217.0853,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836,1265.07,1262.49,5604.5785
1673107200000,2023-01-07 16:00:00,1265.07,1265.08,1261.87,1262.49,5604.5785,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705,1265.34,1265.07,2538.3836
1673103600000,2023-01-07 15:00:00,1265.34,1265.54,1264.0,1265.07,2538.3836,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523,1262.91,1265.34,6223.1705
1673100000000,2023-01-07 14:00:00,1262.91,1265.76,1261.55,1265.34,6223.1705,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703,1263.57,1262.91,4271.523
1673096400000,2023-01-07 13:00:00,1263.57,1265.24,1262.25,1262.91,4271.523,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903,1263.79,1263.56,7190.0703
1673092800000,2023-01-07 12:00:00,1263.79,1263.8,1261.3,1263.56,7190.0703,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158,1264.24,1263.79,3047.7903
1673089200000,2023-01-07 11:00:00,1264.24,1264.25,1262.89,1263.79,3047.7903,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449,1265.1,1264.25,2706.3158
1673085600000,2023-01-07 10:00:00,1265.1,1265.53,1264.11,1264.25,2706.3158,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731,1264.68,1265.1,4898.7449
1673082000000,2023-01-07 09:00:00,1264.68,1266.0,1263.88,1265.1,4898.7449,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269,1266.8,1264.68,10061.9731
1673078400000,2023-01-07 08:00:00,1266.8,1267.11,1264.15,1264.68,10061.9731,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269
1673074800000,2023-01-07 07:00:00,1264.83,1267.0,1264.69,1266.8,2871.9269,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494
1673071200000,2023-01-07 06:00:00,1264.52,1264.84,1262.24,1264.83,6522.0494,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634
1673067600000,2023-01-07 05:00:00,1264.51,1264.65,1263.6,1264.51,3608.8634,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394
1673064000000,2023-01-07 04:00:00,1266.53,1266.54,1263.95,1264.51,6893.3394,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217
1673060400000,2023-01-07 03:00:00,1266.46,1267.02,1265.22,1266.54,3026.3217,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587
1673056800000,2023-01-07 02:00:00,1268.71,1268.97,1266.03,1266.45,3803.3587,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509
1673053200000,2023-01-07 01:00:00,1270.96,1271.09,1268.51,1268.71,5843.8509,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586
1673049600000,2023-01-07 00:00:00,1269.13,1270.96,1266.34,1270.95,7631.1586,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731
1673046000000,2023-01-06 23:00:00,1269.68,1271.92,1268.09,1269.14,7210.2731,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048
1673042400000,2023-01-06 22:00:00,1266.28,1270.64,1265.97,1269.68,7460.1048,1247.79,1247.7,8311.0209,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229
